FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
2418948|Ganado Chapter|Civil|AZ|04|Apache|001|354514N|1093435W|35.753848|-109.576321|||||2000|6562|Ganado Mesa|04/11/2008|02/09/2011
2418953|Greasewood Chapter|Civil|AZ|04|Navajo|017|352516N|1095323W|35.42111|-109.889635|||||1756|5761|Greasewood Spring|04/11/2008|02/09/2011
2418968|Houck Chapter|Civil|AZ|04|Apache|001|351807N|1091637W|35.302015|-109.276921|||||1925|6316|Burntwater Wash|04/11/2008|02/09/2011
2418975|Indian Wells Chapter|Civil|AZ|04|Navajo|017|351931N|1100506W|35.325211|-110.084888|||||1676|5499|Five Buttes|04/11/2008|02/09/2011
2418980|Jeddito Chapter|Civil|AZ|04|Navajo|017|354407N|1100910W|35.735144|-110.152672|||||1877|6158|Jeddito Spring|04/11/2008|02/09/2011
2418988|Kinlichee Chapter|Civil|AZ|04|Apache|001|354508N|1091854W|35.752097|-109.315005|||||2213|7260|Oak Creek Mountain|04/11/2008|02/09/2011
2418989|Klagetoh Chapter|Civil|AZ|04|Apache|001|353058N|1093145W|35.516131|-109.52926|||||1991|6532|Klagetoh North|04/11/2008|02/09/2011
2419004|Low Mountain Chapter|Civil|AZ|04|Apache|001|355622N|1095759W|35.939314|-109.966287|||||1995|6545|Beeshsikad Spring|04/11/2008|02/09/2011
2419006|Lupton Chapter|Civil|AZ|04|Apache|001|351637N|1090701W|35.276914|-109.117056|||||1870|6135|Lupton|04/11/2008|02/09/2011
2419014|Mexican Springs Chapter|Civil|NM|35|McKinley|031|355152N|1085317W|35.864345|-108.88812|||||2237|7339|Crevasse Canyon|04/11/2008|02/09/2011
2419027|Nahatadziil Chapter|Civil|AZ|04|Apache|001|350436N|1091940W|35.076536|-109.32785|||||1838|6030|Beacon Well|04/11/2008|02/09/2011
2419030|Naschitti Chapter|Civil|NM|35|San Juan|045|360431N|1083713W|36.075191|-108.620312|||||1728|5669|Grey Hill Spring|04/11/2008|02/09/2011
2419038|Oak Springs Chapter|Civil|AZ|04|Apache|001|352823N|1091023W|35.4731|-109.173117|||||2179|7149|Uranium Spring|04/11/2008|02/09/2011
2419069|Red Lake Chapter|Civil|NM|35|McKinley|031|355301N|1090218W|35.883546|-109.038437|||||2169|7116|Buell Park|04/11/2008|02/09/2011
2419133|Sawmill Chapter|Civil|AZ|04|Apache|001|360005N|1091020W|36.001437|-109.172176|||||2324|7625|White Clay|04/11/2008|02/09/2011
2419123|Saint Michaels Chapter|Civil|AZ|04|Apache|001|353726N|1090743W|35.623973|-109.128749|||||2127|6978|Joe Woody Well|04/11/2008|02/09/2011
2419479|Steamboat Chapter|Civil|AZ|04|Apache|001|354612N|1094922W|35.77007|-109.822844|||||2049|6722|Steamboat Rock|04/11/2008|02/09/2011
2419490|Teesto Chapter|Civil|AZ|04|Navajo|017|352747N|1102834W|35.463073|-110.476194|||||1721|5646|Shonto Butte|04/11/2008|02/09/2011
2419493|Tohatchi Chapter|Civil|NM|35|McKinley|031|355501N|1083922W|35.916892|-108.65621|||||1841|6040|Coyote Canyon NW|04/11/2008|02/09/2011
2419505|Twin Lakes Chapter|Civil|NM|35|McKinley|031|354229N|1084822W|35.708092|-108.80615|||||1967|6453|Twin Lakes|04/11/2008|02/09/2011
2419520|White Cone Chapter|Civil|AZ|04|Navajo|017|353243N|1100721W|35.545353|-110.122621|||||1881|6171|White Cone|04/11/2008|02/09/2011
2419524|Wide Ruins Chapter|Civil|AZ|04|Apache|001|352022N|1093332W|35.339489|-109.558756|||||1838|6030|Dipping Water Well|04/11/2008|02/09/2011
2419314|Black Mesa Chapter|Civil|AZ|04|Navajo|017|361959N|1100147W|36.333186|-110.029766|||||2120|6955|Hole In Rock Valley|04/11/2008|02/09/2011
2419339|Chinle Chapter|Civil|AZ|04|Apache|001|361008N|1093449W|36.168967|-109.580382|||||1672|5485|Chinle|04/11/2008|02/09/2011
