Chapter	Agency	Population	Hospital	P_school	M_School	H_School	College	NHA	Units	Lat	Lon
BECLABITO	NORTHERN	749	No	0	0	0	0	Yes	30		
BURNHAM 	NORTHERN	280	No	0	0	0	0	No	0		
COVE 	NORTHERN	430	No	0	0	0	0	Yes	44		
FRUITLAND 	NORTHERN	2751	No	1	0	0	0	Yes	258		
GADII'AHI 	NORTHERN	550	No	0	0	0	0	Yes	3		
HOGBACK 	NORTHERN	1215	No	0	0	0	0	Yes	13		
MEXICAN_WATER 	NORTHERN	933	No	0	0	0	0	Yes	23		
NENAHNEZAD 	NORTHERN	1292	No	0	0	0	0	No	0		
NEWCOMB 	NORTHERN	629	Yes	1	1	1	0	Yes	12		
RED_MESA 	NORTHERN	1222	No	1	1	1	0	Yes	43		
RED_VALLEY 	NORTHERN	1417	No	0	0	1	0	Yes	59		
ROCK_POINT 	NORTHERN	1273	No	1	1	1	0	No	0		
SAN_JUAN 	NORTHERN	500	No	0	0	0	0	No	0		
SANOSTEE 	NORTHERN	1795	No	0	0	0	0	Yes	32		
SHEEP_SPRINGS	NORTHERN	801	No	1	0	0	0	Yes	57		
SHIPROCK 	NORTHERN	9126	Yes	5	2	3	2	Yes	594		
SWEETWATER 	NORTHERN	1535	No	0	0	0	0	Yes	2		
TEEC_NOS_POS 	NORTHERN	1301	Yes	1	0	0	0	Yes	43		
TWO_GREYHILLS	NORTHERN	500	No	0	0	0	0	Yes	84		
