Chapter	Agency	Population	Hospital	H_Lat	H_Lon	P_school	M_School	H_School	College	NHA	Units	Lat	Lon
BIRD_SPRINGS 	WESTERN	795	No			1	0	0	0	Yes	32	351545N	1104405W
BODAWAY 	WESTERN	1704	No			0	0	0	0	Yes	50	361724N	1113649W
CAMERON 	WESTERN	1122	No			0	0	0	0	Yes	35	355116N	1113549W
CHILCHINBETO 	WESTERN	1165	No			0	0	0	0	Yes	40	363314N	1100204W
COALMINE_MESA	WESTERN	691	No			0	0	0	0	Yes	26	355038N	1111116W
COPPERMINE	WESTERN	590	No			0	0	0	0	No	0	363421N	1112715W
DENNEHOTSO	WESTERN	1462	No			0	0	0	0	Yes	21	365031N	1095042W
INSCRIPTION_HOUSE	WESTERN	1252	Yes			1	2	0	0	No	0	363757N	1105007W
KAIBETO 	WESTERN	1963	No			0	0	0	0	No	108	363946N	1110244W
KAYENTA 	WESTERN	6211	Yes			2	1	2	2	Yes	375	364120N	1101814W
LECHEE 	WESTERN	1660	No			1	0	0	0	Yes	147	365155N	1112649W
LEUPP 	WESTERN	1611	Yes			0	0	0	0	Yes	152	351919N	1110633W
NAVAJO_MOUNTAIN	WESTERN	542	No			0	0	0	0	Yes	40	370206N	1104650W
OLJATO 	WESTERN	2214	No			0	0	0	0	Yes	17	370418N	1101244W
SHONTO	WESTERN	2124	No			0	0	0	0	Yes	54	363941N	1103550W
TOLANI_LAKE	WESTERN	647	No			0	0	0	0	Yes	60	352934N	1105455W
TONALEA 	WESTERN	2595	No			0	0	1	0	Yes	3	362407N	1105838W
TUBA_CITY 	WESTERN	9265	Yes			2	2	1	2	Yes	654	361518N	1111313W
ANETH 	NORTHERN	1989	No			0	0	0	0	Yes	54	371749N	1091220W
BECLABITO	NORTHERN	749	No			0	0	0	0	Yes	30	365006N	1085541W
BURNHAM 	NORTHERN	280	No			0	0	0	0	No	0	361936N	1082532W
COVE 	NORTHERN	430	No			0	0	0	0	Yes	44	363224N	1091043W
FRUITLAND 	NORTHERN	2751	No			1	0	0	0	Yes	258	363551N	1081948W
GADII'AHI 	NORTHERN	550	No			0	0	0	0	Yes	3	365555N	1084654W
HOGBACK 	NORTHERN	1215	No			0	0	0	0	Yes	13	364734N	1083540W
MEXICAN_WATER 	NORTHERN	933	No			0	0	0	0	Yes	23	370047N	1093627W
BECLABITO	NORTHERN	1292	No			0	0	0	0	No	0	365006N	1085541W
NEWCOMB 	NORTHERN	629	Yes			1	1	1	0	Yes	12	361952N	1083828W
RED_MESA 	NORTHERN	1222	No			1	1	1	0	Yes	43	370852N	1092256W
RED_VALLEY 	NORTHERN	1417	No			0	0	1	0	Yes	59	363836N	1090245W
ROCK_POINT 	NORTHERN	1273	No			1	1	1	0	No	0	363926N	1093700W
SAN_JUAN 	NORTHERN	500	No			0	0	0	0	No	0	363604N	1082832W
SANOSTEE 	NORTHERN	1795	No			0	0	0	0	Yes	32	362652N	1085043W
SHEEP_SPRINGS	NORTHERN	801	No			1	0	0	0	Yes	57	360959N	1084523W
SHIPROCK 	NORTHERN	9126	Yes	364819N	1084130W	5	2	3	2	Yes	594	364242N	1084538W
SWEETWATER 	NORTHERN	1535	No			0	0	0	0	Yes	2	364844N	1092146W
TEEC_NOS_POS 	NORTHERN	1301	Yes			1	0	0	0	Yes	43	365738N	1090938W
TWO_GREYHILLS	NORTHERN	500	No			0	0	0	0	Yes	84	361558N	1085128W
